O1,H1,L1,C1,V1,O2,H2,L2,C2,V2,O3,H3,L3,C3,V3,O4,H4,L4,C4,V4,O5,H5,L5,C5,V5,O6,H6,L6,C6,V6,O7,H7,L7,C7,V7,O8,H8,L8,C8,V8
288.28,290.52,286.91,287.13,4176,36613.6,37144.43,35948.2,36123.9,5285,17.608,17.655,17.514,17.542,1697,2431.7,2468.53,2363.3,2376.09,5469,14.814,14.858,14.703,14.84,1273,107.14,108.48,104.63,105.2,2455,0.18593,0.18631,0.1857,0.18614,7,0.5977,0.6063,0.5869,0.5891,2065
287.15,291.7,282.77,283.77,4954,36134.9,36678.31,36067.13,36569.27,4143,17.543,17.683,17.537,17.588,1534,2376.09,2431.4,2367.09,2418.91,4821,14.845,14.856,14.613,14.623,1459,105.12,107.51,104.94,106.9,1818,0.18594,0.18594,0.18494,0.18494,8,0.589,0.5993,0.5884,0.5989,1614
283.75,288.81,283.13,287.83,4497,36569.27,36786.47,36328.11,36697.74,4547,17.589,17.641,17.507,17.611,1569,2418.92,2440.38,2403.06,2431.25,4954,14.617,14.808,14.575,14.805,1444,106.91,107.61,106.33,107.18,1553,0.18574,0.18574,0.18369,0.18369,7,0.5989,0.6024,0.596,0.5989,1566
287.84,290.15,287.03,288.64,4537,36672.24,36932.59,36533.16,36778.84,3978,17.612,17.631,17.433,17.443,1590,2430.72,2452.81,2417.66,2433.88,4463,14.806,15.132,14.796,15.073,1512,107.18,108.25,106.78,107.78,1399,0.18364,0.18441,0.183,0.18441,8,0.5989,0.6044,0.5974,0.6009,1389
288.52,290.41,287.32,288.73,4466,36778.84,37094.85,36639.94,37009,3270,17.442,17.664,17.348,17.654,1786,2433.82,2452.03,2425.78,2444.95,4270,15.069,15.201,14.858,14.928,2084,107.77,108.53,107.34,108.11,1099,0.18421,0.1865,0.18421,0.1865,7,0.6009,0.6036,0.5987,0.6018,1160
288.74,291.21,287.7,289.87,4163,37016.5,37486.96,37001.61,37209.55,4065,17.656,18.007,17.606,17.997,1769,2445.25,2478.66,2441.13,2459.22,4622,14.92,15.082,14.891,14.959,1652,108.11,109.25,108,108.5,1407,0.186,0.18717,0.18445,0.18445,10,0.6019,0.6091,0.6019,0.6061,1322
289.92,292.37,288.62,291.51,4647,37217.55,37479.73,37074.77,37205.03,3611,17.993,18.135,17.797,17.831,2410,2459.5,2490.91,2458.8,2470.32,4412,14.957,15.183,14.951,15.183,1578,108.51,109.15,107.9,108.17,1595,0.18452,0.18555,0.18416,0.18416,8,0.6062,0.6098,0.6035,0.6054,1122
291.51,293.01,289.65,290.37,4413,37205.03,37549.06,37131.53,37447.09,3350,17.83,18.093,17.811,17.907,2062,2470.66,2507.8,2465.21,2503.71,4409,15.181,15.31,15.078,15.227,1559,108.19,109.44,107.94,109.25,1872,0.18424,0.18587,0.18424,0.18587,10,0.6054,0.6097,0.6044,0.6089,910
290.37,293.36,289.87,293.36,4265,37447.59,37505.59,37197.4,37228.89,2976,17.906,18.128,17.904,18.095,2081,2503.7,2508.46,2483.08,2494.6,4119,15.224,15.587,15.203,15.274,2060,109.26,109.37,108.51,108.66,973,0.18595,0.18735,0.18573,0.18698,8,0.609,0.6122,0.6075,0.6107,1063
293.37,294.12,292.09,293.24,4061,37227.39,37428.13,36985.13,37005.63,2446,18.096,18.261,17.99,18.138,2023,2494.85,2505.51,2474.06,2475.33,3760,15.28,15.393,15.115,15.383,1769,108.72,108.8,107.48,107.61,1209,0.18762,0.18958,0.18762,0.1877,9,0.6107,0.6124,0.606,0.606,763
293.26,294.13,291.19,291.52,3724,37024.63,37267.38,36912.82,36952.28,2828,18.139,18.353,18.1,18.229,2173,2476.42,2492.08,2459.03,2459.77,3395,15.382,15.426,15.089,15.149,1735,107.65,108.06,107.18,107.24,981,0.18703,0.18771,0.18681,0.18771,9,0.606,0.609,0.6041,0.6051,922
291.53,292.05,289.99,290.72,3969,36952.28,36992.11,36633.01,36681.01,3167,18.231,18.276,18.055,18.263,2014,2460.04,2470.09,2433.45,2436,4215,15.158,15.397,15.132,15.194,1778,107.24,107.56,106.43,106.66,1633,0.18799,0.18811,0.18611,0.1863,8,0.6051,0.606,0.6009,0.6011,993
290.72,290.92,288.03,288.65,3975,36682.01,37106.86,36601.87,36795.09,4173,18.258,18.289,18.017,18.081,2001,2436.15,2458.05,2428.37,2433.37,4657,15.195,15.356,15.102,15.25,1621,106.66,107.88,106.45,106.98,1680,0.18652,0.18739,0.18649,0.18695,10,0.6012,0.6072,0.601,0.6016,1251
288.75,290.59,288.24,288.95,4399,36795.09,36795.09,36486.4,36529.92,2817,18.088,18.204,18.035,18.117,1903,2433.34,2433.34,2410.25,2411.09,3270,15.249,15.468,15.232,15.245,1826,106.95,107.12,106.21,106.33,851,0.18671,0.18922,0.18647,0.18893,9,0.6016,0.6018,0.5979,0.5984,862
288.95,288.95,286.13,286.47,3556,36503.7,36655.43,36434.25,36617.32,1978,18.116,18.246,18.013,18.124,1935,2411.06,2423.22,2404.07,2416.7,2571,15.246,15.265,15.021,15.133,2164,106.28,106.75,106,106.39,730,0.18932,0.19048,0.18869,0.18898,10,0.5983,0.6017,0.5978,0.6012,584
286.42,287.94,285.99,287.2,2739,36599.82,36671.65,36449.91,36663.59,1964,18.126,18.324,18.072,18.157,2104,2421.39,2426.47,2403.48,2421,3163,15.134,15.223,15.091,15.217,1578,106.65,106.98,105.97,106.43,758,0.18851,0.18851,0.18633,0.18707,11,0.6015,0.604,0.6007,0.6038,669
287.14,288.53,286.62,287.21,2272,36645.86,36805.83,36594.37,36803.83,2840,18.156,18.178,17.763,17.876,2374,2421,2442.66,2418.39,2442.01,4076,15.215,15.565,15.2,15.336,2275,106.43,107.63,106.43,107.34,456,0.18738,0.18826,0.18715,0.18798,9,0.6039,0.6191,0.6039,0.6115,678
287.2,290.49,287.2,290.35,1446,36805.83,36993.67,36721.12,36914.42,2291,17.874,18.031,17.843,18.031,1921,2442.05,2465,2433.82,2453,4542,15.336,15.673,14.869,14.957,3095,107.35,107.9,107.17,107.5,473,0.18939,0.19135,0.18883,0.18891,12,0.6116,0.6173,0.6081,0.6144,1321
290.26,293.66,290.14,292.73,3430,36912.92,37071.5,36830.9,36859.9,2468,18.032,18.535,18.009,18.456,2590,2452.23,2473.4,2445.39,2447.17,3564,14.956,15.375,14.898,15.326,2591,107.5,108.07,106.69,106.79,637,0.19025,0.19071,0.18479,0.18479,15,0.6142,0.6167,0.6092,0.6092,1067
292.73,293.6,288.97,289.03,3186,36862.4,36994.89,36743.43,36875.18,2529,18.454,18.906,18.12,18.174,3385,2447.53,2464.37,2435.37,2450.96,3893,15.327,15.479,15.248,15.404,2581,106.94,107.61,106.68,107.57,808,0.18566,0.18911,0.18552,0.18903,13,0.6093,0.6126,0.6071,0.6104,1287
289.03,291.57,288.45,290.79,3665,36885.68,36936.4,36563.94,36728.47,2635,18.17,18.517,18.088,18.423,3067,2451.21,2454.88,2413.79,2431.77,3520,15.405,15.509,15.294,15.375,2266,107.58,107.67,106.06,106.74,875,0.18959,0.19169,0.18833,0.19008,14,0.6103,0.6117,0.6054,0.6086,965
290.66,290.95,286.3,287.71,3422,36725.97,36774.82,36553.78,36679.54,2077,18.422,18.71,18.367,18.57,2995,2431.77,2441.59,2424.06,2430.77,3402,15.373,15.503,15.299,15.417,1952,106.74,107.31,106.43,106.93,507,0.19024,0.19177,0.18998,0.19076,13,0.6087,0.6092,0.6049,0.605,862
287.77,288.69,286.55,287.57,3308,36677.54,36952.09,36594.21,36928.79,1988,18.568,18.709,18.493,18.603,2945,2430.77,2453.18,2426.06,2451.2,2791,15.416,15.633,15.414,15.598,2261,106.85,107.88,106.63,107.86,368,0.19037,0.19124,0.19002,0.19006,11,0.6051,0.6091,0.6034,0.609,602
287.48,289.74,286.81,289.45,3039,36928.79,37061.72,36883.35,36969.8,1796,18.604,18.752,18.505,18.657,2667,2451.19,2463.53,2448.85,2458.07,2775,15.603,15.758,15.527,15.568,2237,107.85,108.25,107.73,108.15,410,0.1913,0.19247,0.19091,0.19212,13,0.609,0.6147,0.608,0.6147,618
289.44,290.49,288.68,290.19,2812,36960.3,37002.88,36801.95,36848.42,2118,18.661,18.932,18.635,18.847,2758,2457.73,2469.71,2444.32,2446.79,3018,15.566,15.827,15.527,15.8,2076,108.07,108.35,106.95,107.26,399,0.19202,0.19344,0.19098,0.19098,12,0.6147,0.6168,0.61,0.6104,644
290.21,290.92,287.72,288.32,2502,36852.42,37395,36841.42,37287.91,2330,18.875,18.974,18.746,18.79,2478,2446.78,2476.3,2445.18,2470.73,3163,15.797,15.923,15.769,15.862,1997,107.3,108.37,107.24,108.15,492,0.19117,0.19355,0.19072,0.19342,12,0.6104,0.6148,0.6104,0.6142,752
288.29,291.63,288.1,290.82,3102,37287.91,37516.16,37254.42,37320.91,2638,18.788,18.973,18.748,18.952,2472,2470.81,2485.25,2467.73,2472.01,2967,15.865,16.021,15.747,15.747,1862,108.06,108.54,107.95,107.97,438,0.19359,0.19359,0.19254,0.19256,11,0.6142,0.6173,0.614,0.6151,620
290.87,292.42,290.46,291.49,3194,37312.81,37377.23,37270.21,37312.92,1640,18.947,19.035,18.889,18.935,2304,2471.77,2474.99,2464.38,2467.3,2768,15.746,15.877,15.679,15.69,2132,107.96,108.54,107.88,108.24,297,0.19231,0.19292,0.1915,0.1915,9,0.6149,0.6177,0.6142,0.6174,535
291.48,292.98,291.04,292.26,2663,37315.92,37902.04,37312.92,37797.66,2740,18.94,18.967,18.637,18.639,1878,2467.23,2500.4,2466.97,2494.55,3235,15.695,15.7,15.414,15.415,2158,108.24,109.72,108.24,109.43,705,0.19078,0.1912,0.19022,0.19022,11,0.6175,0.6272,0.6173,0.626,762
292.26,296.47,292.12,295.73,3296,37797.64,37802.64,37603.37,37692.84,1905,18.638,18.817,18.569,18.593,2301,2494.54,2495.18,2480.79,2484.56,3019,15.416,15.636,15.372,15.465,2502,109.39,109.45,109.13,109.41,468,0.1897,0.19025,0.18876,0.18881,11,0.626,0.626,0.6208,0.6214,533
295.77,296.14,294.45,295.89,3044,37691.34,37972.44,37589.81,37641.49,2368,18.594,18.741,18.532,18.554,2487,2484.48,2496.1,2472.86,2476.14,3505,15.464,15.483,15.209,15.216,1726,109.45,109.88,109.04,109.07,543,0.18897,0.1907,0.18897,0.18965,13,0.6215,0.6243,0.6196,0.6202,626
296.01,297.5,295.75,296.26,3116,37641.6,37790.56,37318.91,37393.41,2116,18.562,18.706,18.452,18.499,2946,2476.08,2486.01,2456.48,2458.48,2653,15.209,15.29,15.158,15.22,1186,109.07,109.43,108.22,108.31,259,0.18907,0.18988,0.18823,0.18853,9,0.6202,0.6216,0.6165,0.617,490
296.23,296.82,294.44,294.55,2514,37393.41,37480.08,37190.36,37231.86,2646,18.499,18.499,18.32,18.344,2001,2458.42,2462.76,2445.57,2447.43,3228,15.307,15.334,15.23,15.282,1122,108.3,108.49,107.66,107.7,435,0.18825,0.18874,0.18811,0.18874,7,0.6169,0.6174,0.6133,0.6136,635
294.54,294.98,292.78,293.34,3157,37239.36,37309.42,37152.06,37296.36,2187,18.339,18.432,18.297,18.358,1529,2447.8,2461.47,2445.02,2459.84,2584,15.282,15.444,15.281,15.443,904,107.73,107.98,107.48,107.98,260,0.18997,0.18997,0.1888,0.18887,7,0.6136,0.6165,0.6131,0.6165,545
293.26,295.47,293.08,295.22,2984,37295.86,37422.7,37263.89,37419.7,1824,18.413,18.445,18.204,18.327,1474,2459.98,2472.03,2454.9,2470.25,2170,15.441,15.62,15.404,15.51,1569,107.95,108.57,107.92,108.52,294,0.1892,0.19047,0.18902,0.18981,6,0.6165,0.6183,0.6152,0.6183,616
295.12,296.01,293.97,295.82,2999,37420.7,37668.66,37397.7,37651.16,2243,18.329,18.423,18.308,18.4,1202,2470,2489.92,2468.79,2488.64,3393,15.51,15.623,15.331,15.336,1636,108.54,108.89,108.37,108.75,439,0.19014,0.19195,0.19014,0.1916,10,0.6182,0.6197,0.6172,0.618,672
295.86,297.13,295.6,296.44,2864,37647.66,37748.66,37514.94,37688.25,2129,18.401,18.591,18.401,18.425,1917,2488.44,2495.65,2476.93,2488.06,3743,15.337,15.549,15.319,15.542,1877,108.7,108.92,108.1,108.78,347,0.19191,0.19285,0.19062,0.19062,9,0.618,0.6195,0.6156,0.6178,639
296.4,296.91,295.31,296.25,3051,37675.75,37995.46,37661.69,37713.19,2498,18.426,18.53,18.157,18.168,2045,2487.98,2518.05,2482.43,2487,3938,15.543,15.583,15.25,15.339,1775,108.68,109.93,108.68,109.29,452,0.19051,0.19092,0.18921,0.19092,11,0.6178,0.624,0.6175,0.6194,858
296.24,298.68,296.06,296.5,3352,37713.19,37941.45,37557.25,37719.66,2527,18.167,18.564,18.167,18.557,2266,2487.24,2511.16,2477,2489.48,4366,15.338,15.36,15.235,15.252,1523,109.3,109.6,108.35,108.83,564,0.19136,0.19152,0.19001,0.19152,11,0.6195,0.624,0.6186,0.6239,812
296.5,297.48,294.92,296.15,3253,37727.16,37819.46,37594.19,37819.46,2172,18.555,18.557,18.273,18.439,2218,2489.56,2504.05,2478.94,2504.05,3472,15.251,15.337,15.188,15.319,1231,108.85,109.2,108.53,109.12,553,0.19155,0.19201,0.19078,0.19119,9,0.624,0.6249,0.6222,0.6249,587
296.4,297.19,294.87,297.01,2802,37819.35,38253.35,37750.56,37926.12,3079,18.44,18.468,18.302,18.377,2008,2503.37,2543.28,2497.87,2526.87,4568,15.321,15.509,15.301,15.508,1314,109.12,110.11,108.96,109.53,714,0.19078,0.19205,0.19078,0.19205,8,0.6251,0.6323,0.6243,0.628,851
297.34,299.21,296.36,297.84,3427,37926.12,38050.92,37777.46,37991.77,2657,18.376,18.526,18.316,18.515,1689,2526.9,2538.04,2515.5,2534.41,3674,15.507,15.548,15.311,15.337,1260,109.41,109.96,108.82,109.85,412,0.19178,0.19263,0.19178,0.19263,7,0.6279,0.628,0.6237,0.6254,704
297.86,298.95,296.59,298.59,3049,37991.77,38109.64,37862.29,37931.86,2392,18.516,18.719,18.472,18.719,1741,2534.16,2548.93,2526.89,2535.94,3990,15.344,15.572,15.332,15.516,1526,109.86,110.54,109.66,110.07,964,0.19307,0.19307,0.19074,0.19097,8,0.6253,0.6289,0.6245,0.6261,608
298.62,299.41,297.86,298.29,3317,37931.86,38006.36,37806.08,37899.74,1988,18.717,18.79,18.469,18.576,1717,2536.18,2547.59,2530.99,2540.11,3948,15.517,15.635,15.498,15.579,1553,110.06,110.37,109.35,109.66,1009,0.19186,0.19276,0.1917,0.19276,8,0.626,0.628,0.6187,0.6209,647
298.29,299.1,296.65,297.75,2975,37903.24,37959.91,37759.84,37818.35,2395,18.579,18.756,18.565,18.718,1994,2540.11,2547.5,2531.76,2539,3599,15.578,15.8,15.539,15.691,1527,109.66,110.02,109.46,109.87,650,0.19308,0.19378,0.19308,0.19342,8,0.621,0.6223,0.6174,0.6193,735
297.58,299.06,297.07,298.82,2857,37818.35,38033.28,37525.87,37904.72,3186,18.719,18.827,18.683,18.764,2065,2538.89,2594.33,2526.02,2586.96,4460,15.69,16.009,15.684,15.965,1690,109.88,110.69,109.2,110.43,1302,0.19297,0.19413,0.19293,0.19413,7,0.6193,0.6226,0.6148,0.6206,1183
298.87,301.6,297.78,300.79,3645,37916.82,38404.3,37884.3,38287.13,3373,18.76,18.835,18.728,18.734,1661,2586.97,2635.24,2584.62,2625.9,4802,15.962,15.962,15.85,15.866,1322,110.39,112.73,110.39,112.19,1779,0.19434,0.19627,0.19434,0.19627,8,0.6206,0.63,0.6196,0.6295,1349
300.79,305.68,300.37,304.22,4103,38287.13,38519.42,38160.55,38183.55,3669,18.734,18.988,18.734,18.937,1999,2625.69,2665.82,2620.71,2626.18,4782,15.866,15.932,15.735,15.755,1644,112.17,113.48,111.59,111.59,1759,0.19523,0.19557,0.19501,0.19501,7,0.6295,0.6361,0.6287,0.6288,1430
304.26,306.44,302.63,302.87,4370,38183.55,38364.43,38053.15,38340.93,2867,18.939,18.943,18.826,18.856,1497,2626.89,2659.93,2622.13,2656.09,4642,15.755,15.832,15.642,15.671,1386,111.62,112.21,111.28,111.98,1434,0.19511,0.19559,0.1949,0.19492,8,0.6288,0.634,0.6279,0.6337,1246
302.86,306.24,302.48,305.81,4068,38340.93,38374.52,37825.68,38025.35,3402,18.858,19.006,18.81,18.831,1724,2656.09,2658.55,2598.02,2618.23,4846,15.669,15.707,15.578,15.594,1359,111.98,112.04,110.52,111.21,1262,0.19481,0.19522,0.19362,0.19362,8,0.6338,0.634,0.6266,0.6303,892
305.93,306.28,302.87,304.18,4061,38025.35,38058.45,37818.16,37969.14,3196,18.832,18.882,18.619,18.648,1790,2617.67,2620.11,2585.74,2599.8,4253,15.597,15.745,15.556,15.728,1194,111.2,111.28,110.28,110.86,1156,0.19332,0.19332,0.19238,0.19238,8,0.6302,0.6308,0.6249,0.6283,835
304.24,304.43,301.66,303.64,3980,37953.14,38206.45,37953.14,38100.54,2760,18.647,18.688,18.481,18.482,1597,2599.8,2619.4,2599.06,2604.3,4066,15.727,15.844,15.687,15.839,1317,110.86,111.44,110.79,111.05,878,0.19217,0.19319,0.19208,0.19319,8,0.6284,0.6327,0.6284,0.6301,708
303.64,305.35,303.62,304.33,3702,38100.54,38366.64,38031.24,38352.62,2624,18.485,18.659,18.424,18.659,1433,2604.25,2633.2,2598.15,2632.74,4616,15.83,15.951,15.805,15.947,1604,111.03,111.91,110.78,111.89,1262,0.19351,0.19408,0.19261,0.19408,7,0.63,0.6313,0.6279,0.6311,788
304.33,305.35,303.34,305.28,3509,38352.62,38387.73,38073.98,38084.25,2126,18.658,18.714,18.599,18.702,1414,2632.81,2638.6,2604.92,2605.02,3202,15.946,15.968,15.816,15.865,1452,111.88,111.99,111.05,111.11,692,0.1946,0.19477,0.19413,0.19477,8,0.6312,0.6318,0.6265,0.6266,488
305.28,305.55,303.15,303.27,3227,38084.25,38180.89,37686.24,37707.72,2648,18.702,18.85,18.699,18.81,1792,2604.79,2614.65,2564.56,2568.19,3082,15.867,16.076,15.819,15.844,1735,111.13,111.45,109.5,109.77,986,0.1949,0.1949,0.19375,0.19463,8,0.6265,0.6294,0.6205,0.6208,678
303.34,303.81,297.76,298.88,3626,37715.22,37897.69,37568.06,37743.04,3155,18.81,18.84,18.695,18.79,1737,2568.2,2584.51,2560.82,2564.48,3963,15.845,16.025,15.778,15.869,1737,109.72,110.39,109.18,109.32,1254,0.19453,0.19575,0.1942,0.1942,8,0.6209,0.6233,0.6176,0.6189,959
298.88,300.67,297.49,299.16,4044,37743.04,38785.63,37666.45,38607.75,4031,18.788,18.935,18.725,18.779,1803,2564.32,2690.58,2562.46,2686.38,4926,15.868,15.979,15.83,15.909,1498,109.33,115.22,109.25,114.78,2094,0.19455,0.19468,0.19258,0.19349,9,0.6189,0.643,0.6188,0.6401,1373
299.16,310.61,298.82,309.55,4261,38628.75,38919.48,37386.03,37866.66,5914,18.779,18.863,18.654,18.739,1866,2686.37,2716.63,2570.97,2615.31,6426,15.911,16.134,15.866,15.973,1750,114.78,116.14,110.2,112.59,4047,0.19309,0.19392,0.19309,0.19392,7,0.64,0.6528,0.6229,0.6354,2723
309.61,314.48,300.15,304.88,5041,37870.66,38363.99,37082.91,37240.41,5803,18.735,18.836,18.65,18.836,1590,2615.19,2656.66,2509.56,2516.11,6177,15.973,16.002,15.826,15.977,1583,112.61,113.71,107.95,108.96,4215,0.19406,0.19582,0.19406,0.19541,9,0.6353,0.6457,0.6211,0.6234,2252
304.65,306.96,295.4,296.7,5071,37268.91,37407.41,36676.56,36933.34,5028,18.837,18.988,18.792,18.869,1985,2516.11,2532.04,2461.34,2502.39,5734,15.977,16.088,15.937,15.999,1468,108.97,109.56,106.44,107.86,3672,0.19498,0.19498,0.1937,0.19445,9,0.6236,0.626,0.6113,0.6181,2227
296.77,298.04,290.18,294.1,4745,36951.84,37212.05,36691.84,37136.92,4971,18.867,18.887,18.78,18.851,1567,2503.13,2531.83,2476.88,2528.77,5602,15.999,16.061,15.897,16.006,1504,107.87,108.6,106.89,108.33,2744,0.19455,0.19521,0.19455,0.19511,9,0.6181,0.625,0.6142,0.623,2195
294.26,295.02,291.73,293.48,4777,37119.92,37194.8,36602.59,36629.17,3491,18.85,18.94,18.803,18.88,1759,2529.21,2534.3,2460.73,2462.06,4543,16.007,16.273,15.987,16.195,1720,108.34,108.5,106.2,106.29,1901,0.19594,0.19594,0.19475,0.19477,8,0.6232,0.6242,0.6118,0.6118,1342
293.45,293.87,288.77,288.98,3828,36632.17,36689.23,36315.37,36346.09,2725,18.882,18.951,18.69,18.736,1797,2462.08,2467.13,2413.04,2416.45,3609,16.194,16.396,16.047,16.306,2254,106.27,106.34,104.04,104.59,1575,0.19554,0.1958,0.19494,0.19561,8,0.6118,0.6129,0.6005,0.6013,1340
288.91,289.41,283.92,284.76,2600,36425.33,36506.51,36258.19,36415.01,2359,18.737,18.819,18.674,18.7,1629,2420.6,2434.78,2401.65,2429.03,3779,16.305,16.531,16.278,16.459,2258,104.76,105.75,104.18,105.75,916,0.19549,0.19699,0.19527,0.19678,11,0.6028,0.6095,0.5996,0.6085,1076
284.35,286.71,283.16,286.3,1966,36415.51,36594.96,36308.38,36522.37,3115,18.7,18.933,18.588,18.888,2298,2429,2444.9,2423.75,2440.83,4295,16.458,16.611,16.218,16.239,2611,105.76,106.28,105.44,105.83,730,0.19711,0.19908,0.19711,0.19884,11,0.6085,0.6115,0.6078,0.6111,657
286.3,289.01,286.2,288.85,321,36522.37,36889.31,36512.87,36844.84,2448,18.889,19.29,18.878,19.213,2446,2440.83,2477.94,2435.8,2472.71,3798,16.241,16.427,16.197,16.418,2048,105.84,106.88,105.73,106.57,669,0.19946,0.2001,0.19798,0.19798,12,0.6111,0.6176,0.6111,0.6162,1036
288.75,291.17,288.33,289.75,2231,36844.84,36910.91,36734.37,36859.37,1886,19.212,19.473,19.121,19.124,2726,2473.06,2477.68,2447,2464.66,3447,16.419,16.452,16.042,16.17,2131,106.5,106.74,105.82,106.74,415,0.19826,0.19907,0.19758,0.19907,12,0.6162,0.6172,0.6101,0.6144,886
289.64,289.91,286.56,288.49,2399,36858.87,37103.23,36836.81,36967.97,2144,19.123,19.333,19.089,19.319,2343,2464.9,2494.8,2461.48,2476.62,3390,16.17,16.184,15.957,16.072,2196,106.74,107.38,106.51,106.59,881,0.19903,0.19903,0.19598,0.19708,11,0.6145,0.6194,0.6132,0.6136,1158
288.45,290.45,287.61,288.55,2560,36982.47,37086.66,36944.02,36996.17,1743,19.32,19.377,18.883,19.1,2364,2476.6,2492.61,2467.6,2472.01,2891,16.073,16.157,16.01,16.021,1902,106.59,107.17,106.59,106.8,522,0.1969,0.1969,0.19552,0.19652,10,0.6136,0.6174,0.6133,0.6144,728
288.51,290.31,288.07,288.93,1952,37002.67,37003.67,36311.34,36319.72,2415,19.099,19.161,18.926,19.115,2370,2471.74,2472.34,2411.41,2412.03,3149,16.02,16.106,15.946,16.105,1925,106.83,106.83,104.9,104.94,973,0.19655,0.19743,0.19655,0.19696,11,0.6144,0.6145,0.6013,0.6013,1129
288.93,289.1,282.5,282.83,2562,36319.72,36382.22,35778.48,35848.27,2964,19.117,19.334,19.073,19.15,2177,2413.11,2427.7,2379.77,2387.25,3873,16.106,16.158,15.756,15.789,1566,104.92,105.3,103.57,103.92,1143,0.19651,0.19764,0.19651,0.19746,9,0.6013,0.6024,0.5905,0.5923,1201
283.02,283.71,279.33,280.18,2747,35848.27,35990.7,35695,35770.72,2936,19.149,19.209,19.061,19.199,1955,2386.14,2390.25,2356.17,2361.67,3688,15.792,15.836,15.454,15.55,2100,103.92,104.01,102.91,103.15,788,0.19763,0.19763,0.1959,0.1959,9,0.5924,0.5955,0.5892,0.5915,1048
280.07,280.12,277.87,278.72,2930,35770.72,36124.29,35701.96,36084.73,2390,19.198,19.222,18.963,18.964,1634,2361.78,2398.96,2356.14,2397.09,3625,15.547,15.655,15.477,15.53,2039,103.18,104.39,103.05,104.27,1039,0.19618,0.19618,0.1933,0.1933,9,0.5917,0.5955,0.5904,0.5945,656
